# Pin rows contain Pin number and pin name.
# Pin rows start with PIN_
# LED rows start with LED_
# If the pin name is omitted, the pin number is added as name.
# Rows for empty entries have to start with '-'
# Empty lines and lines not starting with PIN_ or LED_ are ignored

PIN_PA03,AREF
PIN_PA02,A0
PIN_PB02,A1
PIN_PB03,A2
PIN_PA04,A3
PIN_PA05,A4
PIN_PA06,A5
PIN_PA07,A6
PIN_PA22,D0
PIN_PA23,D1
PIN_PA10,D2
PIN_PA11,D3
PIN_PB10,D4
PIN_PB11,D5
PIN_PA08,SDA
PIN_PA09,SCL
PIN_PB08,LED
PIN_PB22,TX
PIN_PB23,RX
PIN_PA19,MISO
PIN_PA17,SCK
PIN_PA16,MOSI
PIN_PA21,D7
PIN_PA20,D6
PIN_PB09,VBAT

# SD
PIN_PA14,SD_NSS
PIN_PA12,SD_MOSI
PIN_PA13,SD_SCK
PIN_PA15,SD_MISO
PIN_PA27,SD_CD

PIN_PA24,USB_DM
PIN_PA25,USB_DP

PIN_PA30,SWCLK
PIN_PA31,SWDIO

